"ID","TimeStart","TimeEnd","Duration","LAeq","SEL","LAeq_Lmax","LAFmax","LCpeak","Onset","Threshold"
"AdmB",2019-06-24 17:11:40,2019-06-24 17:12:40,60,93.7,111.5,107.1,109.8,125.6,1.3,50
"AdmB",2019-06-24 17:12:40,2019-06-24 17:13:22,42,91.5,107.9,102,103.3,117.1,1.9,50
"AdmB",2019-06-24 17:13:22,2019-06-24 17:14:32,70,91.9,110.4,104.9,108.7,124.4,0.9,50
"AdmB",2019-06-24 17:14:32,2019-06-24 17:15:11,39,94.3,110.3,105.7,108.4,122.8,1.5,50
"AdmB",2019-06-24 17:15:11,2019-06-24 17:16:11,60,97.7,115.6,111.3,114,127,1,50
"AdmB",2019-06-24 17:16:11,2019-06-24 17:17:17,66,99.9,118.2,114.8,117.8,133.7,1.1,50
"AdmB",2019-06-24 17:17:17,2019-06-24 17:19:06,109,90.8,111.2,105.5,108.2,123,1.3,50
"AdmB",2019-06-24 17:19:32,2019-06-24 17:20:57,85,91.7,111,106,107.1,121,1,50
"AdmB",2019-06-24 17:20:57,2019-06-24 17:21:56,59,61.2,79,70.2,72.5,90.6,0.5,50
"AdmB",2019-06-24 17:22:06,2019-06-24 17:22:15,9,49.9,59.9,51.9,53.8,76.5,1,50
"AdmB",2019-06-24 17:22:23,2019-06-24 17:23:47,84,89.8,109.1,105.3,107.2,122.2,1,50
"AdmB",2019-06-24 17:23:47,2019-06-24 17:24:33,46,58.9,75.7,65.3,66.4,84.6,0.6,50
"AdmB",2019-06-24 17:25:06,2019-06-24 17:27:14,128,86.1,107.2,102.1,105.1,120.2,1,50
"AdmB",2019-06-24 17:27:51,2019-06-24 17:30:09,138,91.6,113.1,109.2,110.7,125,1.1,50
"AdmB",2019-06-24 17:35:06,2019-06-24 17:35:23,17,54.9,67.5,60.8,62.1,87,1.8,50
"AdmB",2019-06-24 17:48:49,2019-06-24 17:49:04,15,50.6,62.6,53,53.8,76.7,0.6,50
"AdmB",2019-06-24 17:51:54,2019-06-24 17:52:00,6,51.2,59.6,55,58.6,78.8,1.7,50
"AdmB",2019-06-24 17:53:40,2019-06-24 17:54:26,46,90.5,107.2,101.8,103.3,116.6,2.2,50
