"Time","Field"
2020-12-15 10:32:00,"Ault"
2020-12-15 10:35:00,"Ault"
2020-12-15 10:36:00,"Ault"
2020-12-15 10:38:00,"Ault"
2020-12-15 10:38:00,"Ault"
2020-12-15 10:42:00,"Ault"
2020-12-15 10:43:00,"Ault"
2020-12-15 10:45:00,"Ault"
2020-12-15 10:56:00,"Ault"
2020-12-15 10:56:00,"Ault"
2020-12-15 11:13:00,"Ault"
2020-12-15 11:13:00,"Ault"
2020-12-15 11:16:00,"Ault"
2020-12-15 11:18:00,"Ault"
2020-12-15 11:18:00,"Ault"
2020-12-15 11:27:00,"Ault"
2020-12-15 11:29:00,"Ault"
2020-12-15 11:30:00,"Ault"
2020-12-15 11:33:00,"Ault"
2020-12-15 11:34:00,"Ault"
2020-12-15 11:35:00,"Ault"
2020-12-15 11:37:00,"Ault"
2020-12-15 11:38:00,"Ault"
2020-12-15 11:45:00,"Ault"
2020-12-15 11:47:00,"Ault"
2020-12-15 11:47:00,"Ault"
2020-12-15 11:58:00,"Ault"
2020-12-15 11:58:00,"Ault"
2020-12-15 12:07:00,"Ault"
2020-12-15 12:08:00,"Ault"
2020-12-15 12:18:00,"Ault"
2020-12-15 12:20:00,"Ault"
2020-12-15 12:25:00,"Ault"
2020-12-15 12:26:00,"Ault"
2020-12-15 12:29:00,"Ault"
2020-12-15 12:31:00,"Ault"
2020-12-15 12:33:00,"Ault"
2020-12-15 12:35:00,"Ault"
2020-12-15 12:35:00,"Ault"
2020-12-15 12:37:00,"Ault"
2020-12-15 12:38:00,"Ault"
2020-12-15 12:39:00,"Ault"
2020-12-15 12:45:00,"Ault"
2020-12-15 12:55:00,"Ault"
2020-12-15 12:56:00,"Ault"
2020-12-15 13:03:00,"Ault"
2020-12-15 13:03:00,"Ault"
2020-12-15 13:07:00,"Ault"
2020-12-15 13:07:00,"Ault"
2020-12-15 13:10:00,"Ault"
2020-12-15 13:11:00,"Ault"
2020-12-15 13:14:00,"Ault"
2020-12-15 13:17:00,"Ault"
2020-12-15 13:19:00,"Ault"
2020-12-15 13:20:00,"Ault"
2020-12-15 13:22:00,"Ault"
2020-12-15 13:33:00,"Ault"
2020-12-15 13:36:00,"Ault"
2020-12-15 13:37:00,"Ault"
2020-12-15 13:38:00,"Ault"
2020-12-15 13:41:00,"Ault"
2020-12-15 13:41:00,"Ault"
2020-12-15 13:43:00,"Ault"
2020-12-15 13:52:00,"Ault"
2020-12-15 13:53:00,"Ault"
2020-12-15 13:53:00,"Ault"
2020-12-15 13:54:00,"Ault"
2020-12-15 13:55:00,"Ault"
2020-12-15 13:56:00,"Ault"
2020-12-15 13:58:00,"Ault"
2020-12-15 14:00:00,"Ault"
2020-12-15 14:15:00,"Ault"
2020-12-15 14:31:00,"Ault"
2020-12-15 14:38:00,"Ault"
2020-12-15 14:38:00,"Ault"
2020-12-15 14:48:00,"Ault"
2020-12-15 14:54:00,"Ault"
2020-12-15 14:55:00,"Ault"
2020-12-15 14:55:00,"Ault"
2020-12-15 14:55:00,"Ault"
2020-12-15 14:56:00,"Ault"
2020-12-15 14:57:00,"Ault"
2020-12-15 15:03:00,"Ault"
2020-12-15 15:10:00,"Ault"
2020-12-15 15:14:00,"Ault"
2020-12-15 15:19:00,"Ault"
2020-12-15 15:27:00,"Ault"
2020-12-15 15:37:00,"Ault"
2020-12-15 15:40:00,"Ault"
2020-12-15 15:55:00,"Ault"
2020-12-15 15:56:00,"Ault"
2020-12-15 15:58:00,"Ault"
2020-12-15 16:04:00,"Ault"
2020-12-15 16:08:00,"Ault"
2020-12-15 17:00:00,"Ault"
2020-12-15 17:00:00,"Ault"
2020-12-15 17:01:00,"Ault"
2020-12-15 17:02:00,"Ault"
2020-12-15 17:39:00,"Ault"
2020-12-15 17:40:00,"Ault"
2020-12-15 17:42:00,"Ault"
2020-12-15 17:43:00,"Ault"
2020-12-15 17:44:00,"Ault"
2020-12-15 17:46:00,"Ault"
2020-12-15 18:16:00,"Ault"
2020-12-15 18:17:00,"Ault"
2020-12-15 18:24:00,"Ault"
2020-12-15 18:26:00,"Ault"
2020-12-15 18:28:00,"Ault"
2020-12-15 18:32:00,"Ault"
2020-12-15 18:34:00,"Ault"
2020-12-15 18:35:00,"Ault"
2020-12-15 18:36:00,"Ault"
2020-12-15 18:36:00,"Ault"
2020-12-15 18:39:00,"Ault"
2020-12-15 18:41:00,"Ault"
2020-12-15 18:47:00,"Ault"
2020-12-15 18:47:00,"Ault"
2020-12-15 18:59:00,"Ault"
2020-12-15 18:59:00,"Ault"
2020-12-15 19:05:00,"Ault"
2020-12-15 19:06:00,"Ault"
2020-12-15 19:10:00,"Ault"
2020-12-15 19:11:00,"Ault"
2020-12-15 19:14:00,"Ault"
2020-12-15 19:19:00,"Ault"
2020-12-15 19:39:00,"Ault"
2020-12-15 19:42:00,"Ault"
2020-12-15 19:45:00,"Ault"
2020-12-15 19:48:00,"Ault"
2020-12-15 19:56:00,"Ault"
2020-12-15 19:56:00,"Ault"
2020-12-15 20:01:00,"Ault"
2020-12-15 20:18:00,"Ault"
2020-12-15 20:34:00,"Ault"
2020-12-15 20:37:00,"Ault"
2020-12-15 20:40:00,"Ault"
2020-12-15 20:43:00,"Ault"
2020-12-16 06:53:00,"Ault"
2020-12-16 06:53:00,"Ault"
2020-12-16 08:09:00,"Ault"
2020-12-16 08:42:00,"Ault"
2020-12-16 08:42:00,"Ault"
2020-12-16 08:46:00,"Ault"
2020-12-16 08:48:00,"Ault"
2020-12-16 08:52:00,"Ault"
2020-12-16 08:52:00,"Ault"
2020-12-16 08:58:00,"Ault"
2020-12-16 08:59:00,"Ault"
2020-12-16 09:04:00,"Ault"
2020-12-16 09:10:00,"Ault"
2020-12-16 09:30:00,"Ault"
2020-12-16 09:33:00,"Ault"
2020-12-16 09:36:00,"Ault"
2020-12-16 09:42:00,"Ault"
2020-12-16 10:01:00,"Ault"
2020-12-16 10:05:00,"Ault"
2020-12-16 10:06:00,"Ault"
2020-12-16 10:07:00,"Ault"
2020-12-16 10:09:00,"Ault"
2020-12-16 10:12:00,"Ault"
2020-12-16 10:12:00,"Ault"
2020-12-16 10:14:00,"Ault"
2020-12-16 10:17:00,"Ault"
2020-12-16 10:29:00,"Ault"
2020-12-16 10:33:00,"Ault"
2020-12-16 10:35:00,"Ault"
2020-12-16 10:36:00,"Ault"
2020-12-16 10:37:00,"Ault"
2020-12-16 10:39:00,"Ault"
2020-12-16 10:42:00,"Ault"
2020-12-16 10:45:00,"Ault"
2020-12-16 10:54:00,"Ault"
2020-12-16 11:07:00,"Ault"
2020-12-16 11:11:00,"Ault"
2020-12-16 11:31:00,"Ault"
2020-12-16 11:31:00,"Ault"
2020-12-16 11:41:00,"Ault"
2020-12-16 11:43:00,"Ault"
2020-12-16 11:44:00,"Ault"
2020-12-16 11:49:00,"Ault"
2020-12-16 11:52:00,"Ault"
2020-12-16 11:54:00,"Ault"
2020-12-16 11:58:00,"Ault"
2020-12-16 11:59:00,"Ault"
2020-12-16 12:01:00,"Ault"
2020-12-16 12:07:00,"Ault"
2020-12-16 12:12:00,"Ault"
2020-12-16 12:12:00,"Ault"
2020-12-16 12:16:00,"Ault"
2020-12-16 12:18:00,"Ault"
2020-12-16 12:20:00,"Ault"
2020-12-16 12:21:00,"Ault"
2020-12-16 12:27:00,"Ault"
2020-12-16 12:37:00,"Ault"
2020-12-16 12:56:00,"Ault"
2020-12-16 12:56:00,"Ault"
2020-12-16 12:57:00,"Ault"
2020-12-16 12:59:00,"Ault"
2020-12-16 13:00:00,"Ault"
2020-12-16 13:00:00,"Ault"
2020-12-16 13:01:00,"Ault"
2020-12-16 13:03:00,"Ault"
2020-12-16 13:05:00,"Ault"
2020-12-16 13:05:00,"Ault"
2020-12-16 13:05:00,"Ault"
2020-12-16 13:07:00,"Ault"
2020-12-16 13:07:00,"Ault"
2020-12-16 13:23:00,"Ault"
2020-12-16 13:24:00,"Ault"
2020-12-16 13:32:00,"Ault"
2020-12-16 13:36:00,"Ault"
2020-12-16 13:36:00,"Ault"
2020-12-16 13:47:00,"Ault"
2020-12-16 13:49:00,"Ault"
2020-12-16 13:51:00,"Ault"
2020-12-16 13:59:00,"Ault"
2020-12-16 13:59:00,"Ault"
2020-12-16 14:01:00,"Ault"
2020-12-16 14:01:00,"Ault"
2020-12-16 14:04:00,"Ault"
2020-12-16 14:10:00,"Ault"
2020-12-16 14:17:00,"Ault"
2020-12-16 14:21:00,"Ault"
2020-12-16 14:24:00,"Ault"
2020-12-16 14:24:00,"Ault"
2020-12-16 14:36:00,"Ault"
2020-12-16 14:36:00,"Ault"
2020-12-16 14:38:00,"Ault"
2020-12-16 14:44:00,"Ault"
2020-12-16 14:44:00,"Ault"
2020-12-16 15:03:00,"Ault"
2020-12-16 15:04:00,"Ault"
2020-12-16 15:14:00,"Ault"
2020-12-16 15:25:00,"Ault"
2020-12-16 15:43:00,"Ault"
2020-12-16 15:46:00,"Ault"
2020-12-16 15:47:00,"Ault"
2020-12-16 15:50:00,"Ault"
2020-12-16 15:53:00,"Ault"
2020-12-16 16:20:00,"Ault"
2020-12-16 16:34:00,"Ault"
2020-12-16 16:50:00,"Ault"
2020-12-16 16:52:00,"Ault"
2020-12-16 16:59:00,"Ault"
2020-12-16 17:00:00,"Ault"
2020-12-16 17:34:00,"Ault"
2020-12-16 17:35:00,"Ault"
2020-12-16 17:38:00,"Ault"
